word,count
草,30
害怕,21
 ,10
0.75,7
哈哈哈,6
确实,4
新世界,4
老婆,3
哈哈哈哈,3
草草,3
凉快,3
0.5,3
倍速,3
倍,3
阿巴,2
说,2
耳熟,2
画风,2
简约,2
线条,2
bgm,2
狂喜,2
声音,2
喜欢,2
绮楼,2
好帅,2
太,2
露骨,2
真,2
心率,2
飚,2
敲,2
嘶,2
好听,2
病娇,2
开启,2
阴间,2
lld,1
草原,1
盖,1
儿帽,1
老公,1
节能,1
模式,1
穷,1
差些,1
次元,1
妖,1
有够,1
好笑,1
姐,1
搞,1
rps,1
升华,1
孤寡,1
开幕,1
雷击,1
长得帅,1
草是,1
沙雕,1
绝地,1
求生,1
冒犯,1
穷奇,1
小猫咪,1
喝,1
常用,1
看着,1
很穷,1
鹅鹅鹅鹅鹅,1
同担,1
喔,1
高级,1
生,1
桃星,1
joi,1
轴伊好,1
矮,1
勺宝,1
伴,1
话,1
迫真,1
watereal,1
号,1
问,1
双厨,1
诚实,1
玩意,1
弔,1
图,1
一堆,1
kksk,1
直女,1
右下角,1
面部,1
表情,1
憨,1
梦幻,1
大叫,1
天鹅,1
