word,count
宝宝,1069
巴士,1037
 ,924
草,767
花丸,732
可爱,454
橘子,375
哈哈哈,289
耶,250
の,175
好听,167
が,144
哈哈哈哈,125
愛馬,118
草草,112
www,104
kksk,102
suki,95
笑,93
丸,91
は,89
嘴,86
太,86
爱,85
る,85
い,82
喜欢,81
れ,77
wwww,71
ww,70
mua,70
说,64
＼,64
安心,63
晴,63
琉,61
血压,59
抱,59
❀,58
听,56
想,55
wwwww,54
哒,52
令人,51
热乎,50
诶,50
kiss,48
紧紧,46
玩,44
吃,43
死,42
awsl,39
真,38
doge,37
哭,36
な,35
游戏,34
确实,34
巴适,33
感觉,33
真的,33
debu,33
完,32
き,32
甜,32
DD,30
孩子,30
好家伙,29
老婆,29
wwwwww,29
狂喜,29
先来,28
か,28
憨,28
​,28
贴,28
啊啊啊,27
噗,27
小时,26
请,26
ｗ,26
原神,26
赞,25
て,25
开心,25
快乐,24
声音,24
不亏,24
も,24
高,23
分钟,23
卡哇伊,23
し,23
厉害,23
阿巴,23
ラ,23
泪目,22
快点,22
抽,21
行,21
