word,count
 ,55
好听,49
草,47
栗子,38
栗,37
awsl,31
哈哈哈,18
可爱,15
太,13
啊啊啊,10
开口,10
蛾,9
弹幕,9
跪,9
真的,9
蛾子,8
太棒了,8
字幕,8
kksk,7
声音,7
卧槽,7
太强,7
喜欢,7
i,7
耶,6
哈哈哈哈,6
suki,6
听,5
笑,5
好棒,5
唱,5
紫,5
开幕,4
雷击,4
爱,4
foo,4
姐姐,4
死,4
苦主,4
停下来,4
跳车,4
⏝,4
我爱你,4
桌子,4
强,4
DD,4
⊙,4
前来,3
表情,3
第一,3
o,3
猫,3
歌,3
厉害,3
单推,3
吃,3
whl,3
23333,3
前方,3
高能,3
完,3
惨,3
真,3
饿,3
对不起,3
好帅,3
标准,3
拼,3
噔,3
首歌,3
佬,3
表白,3
宝藏,3
音色,3
这首,2
wwww,2
投币,2
男孩,2
寻求,2
爱死,2
大爱,2
....,2
推,2
二泉映月,2
状态,2
不好,2
▽,2
hso,2
片头,2
好看,2
↓,2
唱得,2
芜湖,2
专业,2
麻,2
dd,2
脑花,2
妈耶,2
鸡皮疙瘩,2
太甜,2
