word,count
 ,643
新年快乐,494
kksk,492
花谱,445
耶,407
好听,320
可爱,242
恭喜,150
草,148
喜欢,130
awsl,109
爱,107
太,97
kaf,95
啊啊啊,89
花花,85
哈哈哈,80
听,75
热乎,73
字幕,69
花譜,67
い,66
老婆,65
♪,63
๑,62
॑,60
加油,54
た,52
「,47
感觉,45
声音,45
死,44
好好,44
な,43
真的,43
分钟,41
想,41
る,41
歌,40
少女,40
君,39
呜呜,38
て,38
っ,37
一遍,35
感谢,35
真,34
神明,34
说,33
永远,33
が,33
笑,33
吃,33
帅,32
花,32
里,31
好棒,31
⸜,30
꒳,30
⸝,30
✰,30
亿遍,29
suki,29
哭,29
の,29
快樂,29
摇,28
太棒了,28
这首,27
ら,27
し,27
だ,27
高,27
で,26
黑,26
柿子,26
再来,25
画风,24
yyds,24
东西,24
好像,24
か,24
哈哈哈哈,24
www,24
聖誕,24
首页,23
中,23
は,23
 ,22
あ,22
芜湖,22
循环,22
活下去,22
世界,21
新,21
す,21
做,21
宝藏,20
に,20
き,20
