word,count
 ,183
可爱,122
草,107
耗子,101
哈哈哈,83
啊啊啊,52
骂,51
哈哈哈哈,44
说,29
鼠,25
中文,25
桑,25
doge,22
真的,20
西,20
好大,18
吃,17
太,17
好人,17
老鼠,16
发音,15
卡,15
墨汁,15
耳朵,14
靥,14
卡马,14
咖喱饭,13
分钟,13
单推,13
死,13
喜欢,13
呜呜,12
老婆,10
标准,10
小亮,10
口音,9
鼠鼠,9
咩,9
笑,9
社长,9
初见,9
い,9
谢谢,9
尾汁,9
妈妈,9
贝塔,9
好家伙,8
声音,8
鼠标,8
锤子,8
小时,7
奶奶,7
饿,7
想,7
干饭,7
吱吱,7
耶,7
救命,7
道歉,7
狗头,7
好像,7
字正腔圆,7
Q,7
挺,7
爱,7
喵,7
hhh,6
气球,6
www,6
弹,6
中国,6
奇怪,6
话,6
debu,6
恳求,6
う,6
一遍,6
厕所,5
学,5
女,5
咖喱,5
噗,5
感觉,5
rua,5
さ,5
热乎,5
路人,5
♂,5
诶,5
关注,5
前方,5
wwww,5
不错,5
请,5
鼠式,5
听,5
卧槽,5
狂喜,5
糖分,5
抱歉,5
