word,count
哈哈哈,232
草,151
 ,143
哈哈哈哈,99
烤鱼,58
家,42
pi,40
太,34
好看,32
头,32
奶茶,30
可爱,29
荀,27
api,22
真的,19
23333,17
啊啊啊,17
好活,16
荀异,15
笑,14
死,13
还原,12
狛,12
肝,12
hso,11
妈妈,11
debu,11
233333,11
这是,10
hhhh,10
厉害,10
爱,10
23333333,9
bgm,9
做,9
九头,9
枝,9
真,9
笼,9
草草,8
说,8
龙,8
卧槽,8
缺德,8
佬,8
API,8
耶,7
2333333,7
www,7
好好看,7
感觉,7
荀妈,7
强,7
七海,7
up,7
食神,7
弹幕,7
神,7
片头,7
有毒,7
麻麻,6
憨,6
太强,6
想,6
不愧,6
包包,6
陆夫人,6
好棒,6
噗,6
xxapi,6
混沌,6
刷,6
2333,5
awsl,5
i,5
hhh,5
老陆,5
陈先生,5
陈,5
鱼,5
诶,5
Pi,5
老荀,5
心,5
身高,5
干,5
贴,5
韩国,5
要来,5
两个,5
烤,5
猫猫,5
截图,5
佐,5
鸣,5
观堇,5
台,5
特色,5
土,5
不对劲,4
