word,count
 ,1060
莉姬,1028
草,328
哈哈哈,170
女王,144
✨,144
可爱,125
水饺,104
の,102
正,100
awsl,95
害怕,89
¿,88
哈哈哈哈,78
正正,73
开幕,66
な,66
雷击,63
草草,58
说,55
高能,54
爱,53
单身,51
大人,48
耳机,48
车车,46
笑,45
太,42
好听,42
吖,40
中,40
　,40
狗,40
想,39
suki,39
卧槽,38
前方,38
骂,37
懂,36
い,35
好家伙,34
车,34
危,34
莉,33
保护,33
真的,33
死,33
无限大,33
梦,33
あ,33
と,33
も,33
世,33
じ,33
ゃ,33
喜欢,32
现场,32
啊啊啊,30
姬,30
真,29
吃,28
听,27
加油,27
开车,26
真实,24
走,24
简介,24
女,23
感觉,23
饿,23
吓死,23
报警,22
哒,22
厉害,21
卡,21
兄弟,20
姬姬,20
买,20
贴,20
doge,19
可怕,19
弹幕,19
女生,19
好看,19
你币,19
人渣,18
举报,18
mua,18
男生,18
恐怖,17
23333,17
声音,17
党,17
老婆,17
耳朵,17
这是,16
建议,16
做,16
游戏,16
￣,16
