word,count
猫猫,587
哈哈哈,85
 ,54
尾巴,54
喵,54
萤萤,28
猫,24
哈哈哈哈,20
awsl,20
萤,18
☆,18
可爱,17
变态,12
好听,10
玩,9
说,9
草,9
软软,9
吃,8
雷击,8
想,8
嘤,8
喜欢,7
特长,7
滑稽,7
锤子,6
莹,6
爱,6
弹幕,6
doge,6
锤,6
笑,6
滢,6
开幕,5
不想,5
别念,5
❤,5
️,5
我家,4
￣,4
憨,4
感觉,4
懂,4
声音,4
搭,4
噶,4
口头,4
哇路,4
BT,4
∧,4
死,4
萤光,4
娇妻,4
阿伟,4
反复,4
no,4
我要,4
莺,4
瑛,4
世界,3
毛,3
你好,3
东方,3
星莲船,3
结束,3
前方,3
高能,3
话,3
DD,3
搁,3
2333333,3
师傅,3
秦王,3
腿,3
去世,3
二人转,3
热乎,3
锅,3
画,3
狂,3
战士,3
AWSL,3
第一,3
天使,3
点,3
害怕,3
腿毛,3
踩,3
耶,3
两种,3
生物,3
英英,3
颖颖,3
盈盈,3
单推,2
i,2
差点,2
变,2
°,2
梦想,2
