word,count
可爱,278
 ,252
草,130
爱,113
太,106
哈哈哈,104
Booyah,98
老婆,97
八百,76
标兵,76
奔,75
北坡,75
Remi,74
礼貌,71
可莉,69
摊牌,67
啊啊啊,62
有判头,58
一遍,58
永远,54
越来越,53
亿遍,52
好听,50
BOOyah,50
火钳,49
推蕾米,42
耶,40
呜呜,40
哈哈哈哈,40
111,40
日子,38
卧槽,36
听,35
1111,35
嘞,35
琴,34
亿万富翁,34
好像,32
刘明,31
648,30
牛,29
真的,28
111111,28
声音,26
刘旻,26
上头,25
11111,24
1111111,24
想,23
awsl,22
填词,22
再来,22
蕾,21
っ,21
ッ,21
配音,20
11111111,20
嫖,20
好好,19
booyah,19
笑,19
姐姐,19
妙,19
太强,18
女儿,18
失败,17
三连,17
每日,17
喜欢,16
好活,16
心脏,16
卡哇伊,16
厉害,16
逼,16
11,16
丘丘人,16
doge,15
真,15
死,15
嗨,15
凯亚,15
百万,15
鸽子,14
米,14
好家伙,14
完,14
感觉,14
全开,14
说,13
诶,13
卡蒂,13
抽到,13
门,13
刑,13
宝箱,13
汪汪,13
提米,12
说句话,12
海兔,12
高能,12
