word,count
 ,824
姐姐,479
书,195
裔,174
晚上,173
晚安,105
哈哈哈,104
呜呜,102
游戏,88
￣,74
想,64
说,62
玩,62
耶,54
哈哈哈哈,54
喜欢,54
感谢,50
の,48
感觉,47
听,43
恐怖,43
确实,42
吃,42
好像,41
真的,41
喝,41
赠送,39
可爱,37
嗚,37
た,36
点,33
太,33
找,33
点歌,32
捏,30
▽,30
〜,28
猫,28
死,27
dd,27
好听,26
草,26
小红帽,25
走,24
挺,23
一点,21
里,21
と,21
か,21
新,20
好家伙,20
な,20
い,20
买,20
っ,20
笑,19
∠,19
坏,19
剧情,19
⌒,18
死活,18
啊啊啊,18
°,18
做,18
が,18
好好,17
期待,17
还好,17
睡,17
好玩,17
咩,17
月,16
诶,16
歌,16
2333,16
东西,16
手机,16
る,16
那种,16
∀,16
不想,16
先,16
明天,16
完,16
关注,15
好多,15
直播,15
舒服,15
刚刚,15
瓜,15
ら,15
は,15
跑,15
う,15
舰长,14
△,14
书宝,14
拜拜,14
小时候,14
喵,13
