word,count
哈哈哈,1010
哈哈哈哈,447
幽幽,399
 ,280
草,240
好听,147
啊啊啊,98
可爱,94
魔王,59
听,38
死,31
笑,30
阿巴,28
太,21
草草,21
诶,21
坏,20
爱,18
好家伙,17
噗,15
脸红,15
好好,15
雷击,14
声音,14
开幕,13
hso,13
威严,13
男,12
想,12
耶,12
河豚,12
日语,12
傻,11
awsl,11
羞耻,10
中,10
完,10
康康,10
危,9
不愧,8
本音,8
♡,8
喜欢,8
说,8
音,7
泡泡,7
茶壶,7
大人,7
温柔,7
♂,7
这是,7
一辈子,7
画,7
喝,7
不对劲,6
虎狼,6
感觉,6
呜呜,6
强,6
y,6
前方,6
超,6
召唤,6
少爷,6
妈妈,6
指,6
懂,6
安详,6
doge,6
揉,6
直播,6
＼,6
之词,5
尾巴,5
i,5
高能,5
真的,5
好涩,5
麻麻,5
确实,5
哭,5
孩子,5
顺火,5
暖,5
字幕,5
说话,5
星战,5
变色,4
太草,4
嗝,4
语,4
hhh,4
好棒,4
吖,4
现场,4
小尾巴,4
幽宝,4
决斗,4
击剑,4
好像,4
