word,count
鸭,156
 ,47
草,46
好听,23
哈哈哈,13
太,12
可爱,12
恭喜,12
发现,12
宝藏,12
vup,12
哈哈哈哈,10
awsl,8
啊啊啊,8
๑,8
哈斯,8
惨,6
棒,5
开幕,5
雷击,5
加油,5
憨,4
耶,4
♪,4
॑,4
✨,4
笑,3
回家,3
一种,3
植物,3
害怕,3
新,3
好家伙,3
菜,3
吃,3
鸭子,3
不错,3
鸭蛋,3
好好,3
听,3
╲,3
╱,3
好看,3
屑,2
弹幕,2
真的,2
刚刚,2
陪,2
狗头,2
死,2
好大,2
挺,2
这波,2
nb,2
战,2
kksk,2
中国,2
嘶,2
一点,2
美味,2
烤鸭,2
清新,2
确信,2
⸜,2
꒳,2
⸝,2
✰,2
滑稽,2
呼吸,2
身体,2
茁壮,2
男孩子,2
奇怪,2
知识,2
增加,2
模型,2
doge,2
爱,2
2333,2
傻笑,2
一遍,2
开头,2
小雅,2
太棒了,2
开口,2
跪,2
吹,2
hhhhhhh,2
草草,2
阿伟,2
‾,2
乛,2
康康,2
坐,2
愛了,2
感觉,2
o,2
〃,2
▽,2
辣,2
