word,count
贝拉,1695
 ,1622
拉姐,1584
好好,1097
收到,930
可爱,702
老公,669
工具,438
拉,411
捏,395
生日快乐,321
卧槽,299
忠,273
诚,273
快快,242
贝极星,237
帅,237
呜呜,229
好听,211
太,183
老婆,183
爱,178
哈哈哈,160
我超,153
忠诚,145
走,142
死,138
风情,135
笑,131
铸币,124
聪明,121
唱,119
真的,117
贝,112
住,111
神,103
很难,103
含金量,103
队长,103
说,101
蚌埠,101
飞飞,101
惹,101
真,100
明白,100
喜欢,96
烧,94
玩,90
太帅,86
这口,85
遍,84
字幕,82
哈哈哈哈,82
终极,81
草,80
天使,79
女人,79
一战,75
mua,74
早该,74
绷,73
不住,70
拉拉,68
帅帅,68
骂,67
土土,67
麻,66
跳,66
听,66
啊啊啊,64
贝比,64
帅帅帅,64
打打,64
逆天,63
好帅,62
告诉,61
土,61
美,60
好看,60
哭,60
严查,60
乐,60
jk,59
做,59
憨,59
SOUL,58
武圣,57
坏,56
溜,55
珂,54
尊尼,54
我爱你,53
honey,51
获加,51
永远,50
剪,50
加油,50
贴图,49
手,49
飞,49
