word,count
好好,288
 ,263
哈哈哈,129
乐府,110
逆天,88
卧槽,77
泪目,77
蚌埠,72
住,69
哈哈哈哈,60
冰,59
好活,50
天皇,48
绷,41
不住,40
开幕,39
雷击,39
乌兹,39
草,32
ice,31
suki,29
呜呜,29
兄弟,28
抽奖,28
笑,25
别吵,25
欧西,25
若子,24
可汗,24
ybb,24
8000,24
试图,22
神,20
电棍,20
死,18
离谱,18
哭,18
永远,18
污渍,18
爹爹,18
收,17
猪猪,17
花生,17
溜,17
爱国,17
khan,16
韭菜,16
盒子,16
天籁,15
冠军,15
真,15
a,15
中国,15
寄,14
脸,14
成,14
恶心,14
ntmb,14
罕见,14
三年,13
霞,13
牌,13
yyds,13
otto,13
麻,13
梦子,12
bdd,12
天,12
杨,12
帅,12
鹿晗,12
b,12
画,12
说,11
喰,11
棍,11
盯上,11
老师,10
太,10
辅助,10
惹,10
bin,10
赢,10
物资,10
激怒,10
加油,10
の,10
回来,9
人会痛,9
制作,9
瘤,9
牛,9
经典,9
五个,9
爹,9
骄傲,9
子,9
X,9
皇,9
驾崩,9
