word,count
哈哈哈,55
 ,35
草,33
哈哈哈哈,29
道,28
01,27
生日快乐,20
awsl,19
可爱,17
好听,14
不愧,14
人法,14
地法天,14
天法,14
法,14
自然,14
弹幕,12
爱,11
喜欢,8
冰冰,8
太,7
祈祷,7
呵呵哈,7
吃,7
沙雕,6
笑,6
nia,6
林伊,6
真,6
开幕,6
兔子,6
死,5
没错,5
请,5
啊啊啊,5
姐姐,5
现场,5
傻,5
666,5
下次,4
233333,4
真实,4
好像,4
我来,4
伊伊,4
想,4
雷击,4
灵魂,4
声音,4
23333,4
这是,4
233,4
活着,4
血压,4
￣,4
ん,4
な,4
で,4
唱,3
滑稽,3
假面,3
骑士,3
羞耻,3
耶,3
行,3
五毛,3
强,3
鬼畜,3
眼泪,3
危,3
这句,3
喜伊粉,3
死亡,3
还行,3
世界,3
直播间,3
笨,3
肚皮,3
牛批,3
跑,3
无敌,3
伊,2
生草,2
AWSL,2
发言,2
标准,2
痴汉,2
属性,2
两倍,2
速,2
队友,2
狗头,2
馋,2
mua,2
一遍,2
伊伊唱,2
越来越,2
温柔,2
点,2
喊,2
