word,count
 ,786
草,735
哈哈哈,417
哈哈哈哈,187
awsl,176
可爱,118
泪目,87
笑,78
死,72
驴,69
太,56
说,51
康康,50
啊啊啊,46
爱,42
确实,38
2333,38
kksk,38
轴,36
惨,36
23333,33
阿米,33
噔,32
 ,31
亲爱,31
真实,30
吃,30
想,29
阿轴,28
轴伊,26
声音,26
坨,26
www,24
博士,24
感觉,23
大头,23
君,22
字幕,22
斗鱼,22
开幕,21
h,21
喜欢,20
乌拉,20
好活,20
兔子,20
懂,19
骂,19
da,19
hhh,18
雷击,18
挺,18
95,18
害怕,18
好听,18
感谢,18
不愧,17
贴,17
233333,17
233,17
二次元,17
哭,16
真的,16
呆子,16
bgm,16
哒,15
做,15
玩,15
诶,15
世界,15
迫害,15
子,15
米娅,15
suki,14
性冷淡,14
听,14
游戏,14
真,14
耶,14
宠物,13
太惨,13
AWSL,13
谢谢,13
老婆,13
危,13
弹幕,13
爽,13
表情,13
睡,13
意识,13
行,12
噗,12
好像,12
撒开,12
骡,12
lin,12
直播,12
苏联,12
穿,11
头,11
hso,11
