word,count
草,239
 ,171
莱宝,40
哈哈哈,38
哈哈哈哈,31
憨,29
太,18
笑,17
离谱,15
蚌埠,13
住,13
金轮,11
kksk,11
可爱,10
确实,10
表情,10
♂,10
草草,9
说,9
jpg,9
懂,9
环绕,9
音,9
DNA,8
土,7
吸血鬼,7
傻,7
画面,7
死,6
企业,6
这是,6
awsl,6
上头,6
开幕,5
雷击,5
诶,5
听,5
大司马,5
原版,5
睡着,5
完,5
孩子,5
羞耻,5
好家伙,5
欲,5
中,5
酱,5
鸭,5
爽哥,5
wwww,4
刻,4
早期,4
作品,4
好怪,4
走,4
23333,4
乳法,4
环法,4
hhhhh,4
困了,4
动,4
日本,4
打架,4
新,4
233,4
耶,4
好活,4
专业,4
绷,4
不住,4
水,4
做,4
惊恐,4
震撼,4
性感,4
不知所措,4
目不转睛,4
rua,4
笑场,4
Ka,4
吃,4
古典,4
中国,4
报销,4
鸭子,4
爽,4
¿,3
音乐,3
真,3
纸片,3
不错,3
骂,3
冰糖,3
一只,3
好像,3
男,3
老师,3
你别,3
标准,3
澄清,3
