word,count
 ,60
草,48
哈哈哈,38
可爱,37
死,12
哈哈哈哈,12
耶,12
笑,11
下次,11
爱,9
啊啊啊,7
渴望,7
太,6
恶魔,5
初见,5
单推,5
结婚,5
suki,4
弹幕,4
awsl,4
↓,4
说,4
怀疑,4
绿,4
尚未,4
未,4
小零,3
声音,3
确实,3
做,3
草草,3
伏笔,3
零宝,3
吃,3
hhhhh,3
噢,3
想要,3
理解,3
守,3
说不定,2
切片,2
好好,2
喔,2
咏,2
唱,2
高速,2
懂,2
电视,2
明明,2
听,2
发现,2
更好,2
真的,2
xswl,2
噔,2
要来,2
名,2
好家伙,2
Telecaster,2
B,2
boy,2
谎言,2
少女,2
鸟儿,2
东西,2
给予,2
爱情,2
漂亮,2
杀,2
明白,2
好像,2
熬夜,2
贴,2
doge,2
那位,2
wwww,2
欸,2
hhhh,2
呜呜,2
维他,2
玩,2
行,2
离谱,2
急,2
发,2
原力,2
地球,2
规模,2
希望,2
I,2
YOU,2
请,2
离开,2
kksk,2
守卫,2
看不懂,1
大受,1
震撼,1
时差,1
解决,1
