word,count
草,2489
 ,852
哈哈哈,391
ccm,380
可爱,258
哈哈哈哈,194
こ,191
笑,96
み,94
草草,92
CCM,86
谢谢,85
awsl,85
说,69
死,69
太,66
吃,59
泰罗,57
www,56
偶像,49
耶,49
啊啊啊,45
想,44
天使,42
唱,41
爱,39
好家伙,38
确实,37
い,36
王力宏,36
太草,35
压力,35
孩子,34
ccsk,34
真,33
开幕,33
害怕,33
好听,32
骂,31
牛奶,31
火,31
真的,30
喜欢,30
雷击,30
kksk,28
天才,28
感觉,27
搞笑,27
yyut,27
wwww,27
听,26
傻,26
噔,25
弹幕,25
新,25
诶,24
中文,24
あ,24
奶,23
艺人,23
DD,22
狗,22
2333,22
茄子,22
泪目,21
挺,21
年,21
咩,21
雅,21
一遍,21
dd,20
这是,20
不愧,20
好活,20
离谱,20
阿巴,20
马斯内,20
cocomi,19
๑,19
牛,19
懂,19
美,19
铁,19
八嘎,18
完,18
跳,18
不错,18
wwwwww,18
doge,18
喝,18
debu,18
ｗ,18
屑,17
牛牛,17
百草园,17
声音,16
奶味,16
憨,16
健壮,16
anti,16
