word,count
 ,161
阿尼,46
哈哈哈,16
泪目,16
爱,15
说,15
见证,14
喜欢,13
历史,13
鬼,12
桃子,11
awsl,10
想,9
男,9
dd,9
斩首,9
弹幕,8
刀,8
柯南,8
高能,7
完,7
可爱,7
兄弟,7
怂,6
声音,6
视频,6
草,6
加油,6
刺客,5
啊啊啊,5
真,5
变态,5
前方,5
不好,5
睡觉,5
游戏,5
狗头,5
脸红,5
场面,4
慈悲,4
这辈子,4
我来,4
tm,4
做,4
卧槽,4
没事,4
DD,4
真的,4
粉丝,4
变声,4
器,4
nm,4
离谱,4
狗,4
泡泡,4
茶壶,4
懂,4
兴奋,4
高,4
开,3
淡定,3
熟练,3
心疼,3
裂开,3
躲,3
哭,3
滑稽,3
分钟,3
老婆,3
无限,3
恐怖,3
好好,3
女,3
送,3
剪,3
梦想,3
明,3
拉倒,3
单推,3
说话,3
wdnmd,3
吃,3
杀,3
走,3
请,3
直播间,3
绅士,3
男孩子,3
面包,3
刺杀,3
咔,3
额,3
平淡,2
生气,2
单挑,2
doge,2
中,2
惊喜,2
我佛,2
承包,2
