word,count
阿梓,1248
打游戏,692
啊啊啊,514
嘟嘟,504
好听,466
 ,412
梓,221
true,205
500,199
梓哥,159
n,121
call,119
吸吸,111
梓宝,107
SimHei,95
学姐,95
生日快乐,91
哈哈哈,80
太,78
好好,77
0.01,76
弹幕,75
祖国,71
0.1,70
可爱,68
万岁,65
♪,63
50,59
牛蛙,56
NSimSun,56
300,56
♬,54
哦哦哦,54
♫,52
听,48
0.6,48
90,44
接受,44
辛木辛木,43
爱,42
♩,39
想,38
哒,38
卧槽,38
4.5,38
宋体,38
蒸,34
0.75,34
高级,33
离谱,32
疯狂,29
奶,29
牛,28
草,28
我超,28
哈哈哈哈,27
350,25
400,25
梓锅,24
awsl,23
真的,22
厉害,22
嘟,21
太强,21
木辛,20
强,20
700,20
✨,20
杏果,20
加油,19
喜欢,19
耶,19
0.5,19
真,18
死,18
太牛,18
600,18
666,17
声音,17
200,17
为梓哥,17
1500,17
就让,17
要会,16
铺床,16
着床,16
吸,16
棒,15
中国,15
超人,15
微软,15
雅黑,15
唱,14
吃,14
20,14
10,14
0.8,14
65,14
323,14
泪目,13
