word,count
 ,1023
哈哈哈,928
草,569
哈哈哈哈,404
可爱,363
加油,261
hso,157
啊啊啊,152
老婆,152
说,138
死,132
再见,131
呜呜,118
笑,115
努力,112
不许,109
太,106
猫猫,100
字字,74
n,72
喜欢,70
嗨,53
真的,52
aza,47
破防,45
救命,43
咋子哥,42
300,42
a,42
耳朵,41
阿萨,40
好听,38
甜,38
想,37
FangSong,37
弹幕,34
耶,31
相声,31
爱,30
字,29
ring,28
噢,25
贴,25
你好,24
Microsoft,24
燃起,23
双厨,23
狂喜,22
谢谢,22
1.2,22
感觉,21
Aza,21
男,21
星星,21
有用,21
200,21
芜,21
热乎,20
发现,20
kwiii,19
kwiiiiii,19
妈妈,19
舅舅,19
现场,18
Ring,18
一点,17
哥,16
www,16
永远,16
苍蝇,16
好家伙,15
听,15
doge,15
好像,15
2.3,15
做,14
草草,14
kwiiii,14
高考,14
棒,14
250,14
kksk,13
声音,13
好好,13
不行,13
救救,13
付出,13
SimSun,13
玩,12
来力,12
吃,12
中,12
腿,12
宝,12
SimHei,12
JhengHei,12
YaHei,12
禁止,12
集锦,11
灵魂,11
