word,count
▆,621
▇,621
阿陆,567
▅,567
▄,567
█,324
草,268
 ,208
Riku,204
哈哈哈,152
哈哈哈哈,60
♡,57
◢,56
◤,56
♫,56
✨,47
噔,44
危,35
舰,22
耶,21
阿姨,21
陆婉莹,20
懂,20
斩首,18
生日快乐,17
妈,17
姐姐,17
骂,16
倒,16
DD,16
妈妈,15
岳母,15
一杯,15
卡布奇诺,14
kksk,13
上舰,13
说,12
dd,12
想,11
害怕,11
草草,11
亲妈,11
¿,11
笑,10
声音,10
制止,10
死,9
❤,9
️,9
谢谢,9
标准,9
粤语,9
确实,8
2333333,8
23333,8
www,8
神经病,8
2333,8
感谢,8
开幕,7
恐怖,7
游戏,7
大姐头,7
好听,7
❥,7
陆宝,7
挺,7
真,7
恭喜,7
好事,7
雷击,6
请,6
确信,6
太,6
钉,6
别骂,6
安排,6
得闲,6
妈呀,6
陆,5
犬,5
山哥,5
这是,5
lwynb,5
牛,5
逼,5
太草,5
聋,5
喝水,5
doge,5
剪,5
舰长,5
直播,5
对线,5
联动,5
现场,5
中意,5
转转,5
我会,4
非,4
