word,count
 ,1798
哈哈哈,1199
草,503
哈哈哈哈,489
吸吸,466
❤,420
萨摩,369
雪狐,366
憨,258
可爱,233
耶,227
屑,195
awsl,191
吃,185
草草,184
doge,160
啊啊啊,158
狐狸,152
好家伙,135
笑,132
说,131
分钟,130
接受,130
吸,119
老板,110
想,108
偷走,100
浅濑,100
声音,96
死,95
太,92
喜欢,92
离谱,89
害怕,88
耳机,88
钢板,82
这是,81
猫,80
魔女,77
阿巴,76
热乎,74
现场,73
狗,73
爱,71
真的,70
喝,70
狐,66
⊙,64
萨摩耶,63
蚊子,61
500,59
SimHei,59
完,56
真,55
感觉,55
危,54
男人,54
玩,54
懂,54
老婆,53
太会,52
点,51
中,50
日记,50
抽,50
为准,49
外放,49
听,49
实物,48
仅供参考,47
游戏,47
家,47
好活,46
党,46
诶,44
关注,44
开幕,43
雷击,43
梦,43
世界,42
第一,42
粮,42
傻,41
视频,41
桃子,41
听不见,41
涩,41
年,40
鸽子,40
hso,40
走,40
高仿,40
岚少,40
小时,39
好像,39
断气,39
骂,39
老师,39
诚哥,38
恐怖,37
