word,count
 ,177
草,57
哈哈哈,41
好听,32
医生,32
い,31
　,28
lds,27
露,25
の,25
草草,24
露蒂丝,23
な,23
原版,22
た,22
と,17
卧槽,16
哈哈哈哈,15
あ,14
好棒,14
え,13
声音,13
棒,13
还原,12
Yes,12
no,12
say,12
yes,12
ら,12
は,11
て,11
だ,11
不错,11
喜欢,11
弹幕,10
原唱,10
骗,10
高,10
summer,10
噢,10
咕咕,10
海爷,9
度,9
め,9
ち,9
ー,9
大法,9
啊啊啊,9
海大,9
翻唱,9
失踪人口,9
海王,8
听,8
绘海,8
つ,8
が,8
れ,8
る,8
绘,8
法好,8
ゃ,8
好好,8
ん,7
よ,7
声线,7
love,7
そ,7
万岁,7
开口,7
跪,7
太,7
赞,7
真,7
唱,6
夏日,6
心,6
け,6
う,6
呼唤,6
で,6
好像,6
▽,6
呼,6
You,6
are,6
my,6
に,6
说,6
ダ,6
メ,6
LL,6
回归,6
游戏,6
老爷子,5
绘里,5
恋,5
Storm,5
in,5
lover,5
随即,5
