word,count
琥珀,554
草,545
哈姆,530
 ,388
社长,368
nene,319
老师,269
谢谢,204
加油,199
啊啊啊,191
dayo,174
酱,165
仓鼠,163
天才,143
干杯,141
nelineli,138
可爱,113
哈哈哈,81
变态,71
www,56
awsl,55
社,53
す,52
こ,50
い,48
ね,43
绅士,43
好听,39
召唤,38
最强,37
黑暗,34
太,32
说,29
能量,29
哈哈哈哈,28
♡,28
补充,26
wwww,25
wwwwww,25
suki,25
快乐,25
开幕,23
DD,22
手,22
ww,21
kksk,20
雷击,20
爱,20
❤,20
天使,19
新年快乐,19
炸炸,19
一周年,19
真,18
wwwww,18
害怕,18
生日快乐,17
这是,17
　,17
喜欢,16
感谢,16
感觉,16
￣,16
恭喜,16
弹幕,15
变,15
あ,15
效果,15
真的,14
吃,14
牙白,14
子,14
笑,13
か,13
わ,13
干什么,12
支持,12
高,12
哦哦哦,12
强,12
懂,12
贴,12
▽,12
️,12
Nene,11
想,11
赛高,11
还行,11
喵,11
死,10
233,10
太郎,10
wwwwwww,10
危,9
哭,9
w,9
wwwwwwww,9
8888888,9
社長,9
混沌,9
