word,count
草,298
 ,183
可爱,131
饼,112
哈哈哈,78
哈哈哈哈,58
笑,34
www,29
熊猫,25
e,23
太,23
说,19
耶,18
喜欢,18
中国,18
孩子,17
2333,16
确实,16
日本,16
死,15
真的,15
栗子,15
离谱,14
dd,13
Ｏ,12
完,11
w,10
≧,10
≦,10
真,10
懂,10
debu,10
眼睛,10
视频,10
被害,10
吃,9
诶,9
这是,9
听,9
风评,9
蚩尤,8
23333,8
游戏,8
发音,8
经典,8
投币,8
太草,8
大大的,8
悍匪,8
教,7
加油,7
wwwww,7
▽,7
弹幕,7
wwww,7
热乎,7
恐怖,7
话,7
想,7
爆炸,7
泪目,7
写,7
骑,7
谢谢,6
姐姐,6
真实,6
这位,6
非,6
笑声,6
上头,6
餅餅,6
尿,6
学,6
粑,6
六岁,6
手,6
doge,6
记得,6
奇怪,6
中东,6
习惯,6
北京,6
听得懂,6
骗人,6
好家伙,6
嘤,6
う,5
好听,5
啊啊啊,5
里,5
你好,5
太强,5
草草,5
ん,5
确信,5
哭,5
震惊,5
结,5
做,5
直播,5
