word,count
 ,51
哈哈哈,49
草,36
哈哈哈哈,22
牙牙,20
变态,9
佬,9
开幕,9
雷击,9
ん,8
好家伙,8
笑,8
狐狸,7
开心,7
新型,7
网络,7
牙宝,7
倾城,6
DD,6
太,5
可爱,5
bgm,5
小姐,5
直播,4
总督,4
死,4
兔子,4
离谱,4
危,4
感觉,4
耶,4
孩子,4
时间,4
流向,4
第一,4
裂开,3
这是,3
滑稽,3
初见,3
单推,3
结婚,3
喜欢,3
三连,3
走,3
233,3
BGM,3
慕鸾,3
dd,3
唱,3
接上,3
改变,3
倍,3
D,3
yyds,3
天堂,3
制造,3
谨防,3
诈骗,3
停下来,3
吟唱,3
真,3
暴力,3
完,3
老婆,3
上头,3
嗷,3
电话,2
效果,2
KKSK,2
不对劲,2
卧槽,2
感情,2
16,2
岁,2
直播间,2
だ,2
吃,2
辣,2
爱,2
本体,2
紫毛,2
耳机,2
建议,2
还行,2
awsl,2
迷迭,2
错,2
疼,2
恭喜,2
香思琪,2
有币,2
￣,2
不愧,2
回来,2
细节,2
养,2
音量,2
说话,2
憋,2
原速,2
