word,count
可爱,62
d,41
初见,40
单推,20
awsl,20
单杀,20
喵,4
 ,4
猫,3
lumi,3
草,3
猫猫,3
大头,2
≧,2
∇,2
≦,2
芜湖,2
笑,2
∠,2
卧槽,2
屑,2
〜,2
￣,2
憨,2
碎梦,1
可太会,1
一种,1
植物,1
草是,1
碎,1
梦,1
威胁,1
眨,1
生活,1
不易,1
叹气,1
巧,1
認識,1
自我介绍,1
hhhhhh,1
满脑子,1
吃,1
白色,1
猪猪,1
春物,1
bgm,1
鼻子,1
露猪,1
S2,1
傻,1
啃,1
饼,1
痛击,1
队友,1
10,1
米,1
跨栏,1
比赛,1
QAQ,1
亿,1
点点,1
菜,1
心理战,1
ᐛ,1
看戏,1
耶,1
燃起,1
丢,1
夕阳红,1
牛批,1
良心,1
奶,1
美少女,1
夸,1
好好,1
白毛,1
养大,1
赚钱,1
鸭子,1
声线,1
奶加,1
▽,1
奶御奶,1
御,1
有点像,1
exe,1
停止,1
工作,1
撩,1
辣,1
好屑,1
感情,1
想,1
晕,1
23333,1
太,1
爱,1
脑袋,1
摔掉,1
跟着,1
