word,count
 ,612
草,606
哈哈哈,488
￣,262
哈哈哈哈,211
包包,209
死,118
鲨,113
龙,113
游戏,103
笑,98
玩,96
确实,87
说,87
▽,85
吃,83
可爱,80
阿布,80
摸,78
奶茶,77
想,76
°,75
〜,72
打卡,71
好像,69
点,69
真的,68
∀,66
咩,66
耶,65
xxlb,65
pi,63
23333,62
乐,62
感觉,62
做,61
太,59
烤鱼,58
api,58
晚上,57
･,53
老板,50
属性,50
2333,49
完,49
技能,49
当家,48
∠,47
两个,47
蛋,46
老陆,43
jpg,43
直播,42
东西,42
刷,41
基因,40
听,40
女儿,40
换,39
宝宝,39
队友,38
高,38
贴,38
不行,37
x,37
里,37
开,37
挺,37
△,37
hhhhh,37
ﾉ,36
头,36
话,36
洞,36
好看,36
钻石,35
真,35
这是,34
谢谢,34
hhh,34
缺德,33
每日,32
杀,32
送,32
呜呜,32
还行,31
级,31
买,31
子,30
233,30
帅,29
卡,29
行,29
装备,29
猛,28
伤害,28
速度,28
只能,28
有个,27
233333,27
