word,count
哈哈哈,3455
哈哈哈哈,1503
42,593
史姐,1
进,17
真进,1
预言家,91
刀,72
十周年,6
一百,3
233,29
大胆,18
一点,78
召唤,55
医疗,84
明白,20
可惜,23
刻俄柏,4
时装,10
凯尔,303
希,218
报,25
名字,44
小狼,1153
真的,361
闭眼,3
胡说,3
王,33
暗,2
 ,5071
月,48
圆,6
车,18
求,31
一手,15
塞妈,29
开服,51
缺,29
夜莺,44
不太可能,8
鼠王,7
女儿,16
林玉霞,1
压榨,2
肝,31
草草,21
草,772
火龙,146
塞爹,19
赫默,44
岛上,4
苦苦,1
等待,1
两年,25
德狗,14
皮肤,125
真出,1
别刀,13
赌,8
农药,1
车车,4
点,105
蕾丝,2
裙,2
缺个,5
陈,74
求求,19
棺材,1
复活,37
霜星,51
一个顶,6
俩,54
xsl,1
老爷子,69
身后,2
好像,129
胆敢,1
揣测,2
字,12
jio,17
整合,7
运动,14
改,14
星熊,23
买好,3
全,57
抽,246
歪,144
臣,10
附议,10
夜刀,18
部署,72
快能,2
小车,162
配,21
狗头,98
老毒奶,1
君君,10
爆发,25
剂,2
榴莲,23
味,16
弑君,16
•,6
灰烬,40
活动,61
两张,26
周年,59
三张,10
清流,15
早说,1
复刻,10
喊,8
一喊,1
中,61
某开,1
拖拉机,1
干员,319
拐到,1
罗德岛,54
凯厨,5
去世,7
兔兔,32
送,71
皮,17
sir,9
估计,26
叶良树,2
过分,13
上个,4
雷蛇,42
不错,77
开,160
ss,3
故事集,1
想,171
要塞,4
雷娅,3
啊啊啊,247
布洛卡,5
震怒,26
异客,397
JPG,7
反向,12
毒奶,4
笑,495
死,580
快速,25
洁哥,52
凯,30
奶有,1
输出,186
能力,28
必带,2
←,40
早晚,1
升变,15
关卡,58
没法,24
那鼠王,1
重装,97
辅助,59
术士,95
秽土,2
转生,1
爷,23
萨卡兹,11
佣兵,2
休息室,2
久,10
收破,1
收旧,1
女仆,9
装,15
硬气,5
虎狼,4
之词,3
朋友,19
狂怒,13
去年,9
没买,7
蹲,2
一年,26
真要,2
上岛,4
按理说,1
地刺,5
特种,58
快活,35
发,26
30,29
变身,2
zwb,1
庆典,9
马桶,7
长大,5
成,22
夜,15
身材,4
弥勒佛,1
核舟,3
记,4
吓死,10
天,42
新,87
出个,9
瓦斯,1
车去,1
霍霍,1
对面,24
第八章,14
没过,5
小心,19
furry,36
控,28
喜欢,117
监狱,4
不行,99
上次,9
联动,28
俩个,2
十,27
左边,58
登陆,2
一发,28
签到,4
七天,1
叙,2
拉古,2
小羊,213
小狠,62
瞎说,4
改成,4
双,22
希单,1
奶,147
粉毛,8
群奶,14
制药,11
草核,1
舟记,1
米娅,147
一切都是,4
良心,17
柏,10
喙,10
设计,10
花边,1
口,16
相声,3
胡,8
言,3
乱,28
语,7
迫害,14
太草,27
白雪,65
赫拉,49
格,53
憋,2
说,347
手里,3
头,31
初级,1
经验,6
卡快,1
破,10
万,8
YJ,1
卡,141
合成,23
自信,8
10,42
张,12
阿能,68
莫得,6
换,272
好家伙,220
奶进,1
公招,21
海猫,56
来来来,2
缺小,1
可露,3
希尔,7
实装,9
限定,45
放,170
池子,49
德国,5
火车,8
doge,252
装修,2
博士,151
完,120
事儿,4
干嘛,25
剧情,66
思路,17
太棒了,7
住宿生,1
签,1
14,13
试图,3
鹰,6
小姐,14
这毒奶,1
喝,46
hhhhhhhhhhh,9
柯西,1
hhh,80
解,5
皮带,2
六星奶,2
好久,14
hhhhhhhhh,11
池,31
up,87
理智,37
啤酒,1
香肠,1
好吃,9
量,14
症状,1
持续,22
多久,4
分开,1
时段,2
天下,2
一遍,29
下周,1
轮换,3
嵯峨,76
感觉,200
